level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2483	3508	-1	
2	1	1	0	0	0	227	207	1888	88	-1	
3	1	1	1	0	0	227	207	1888	88	-1	
4	1	1	1	1	0	227	207	1888	88	-1	
5	1	1	1	1	1	227	213	156	28	96.249939	Globular
5	1	1	1	1	2	390	213	68	28	96.613472	and
5	1	1	1	1	3	467	213	125	28	95.457642	fibrous
5	1	1	1	1	4	600	213	132	36	95.457642	protein
5	1	1	1	1	5	741	213	134	28	96.498215	models
5	1	1	1	1	6	884	213	191	36	96.193970	illustrating
5	1	1	1	1	7	1084	213	58	28	96.554291	the
5	1	1	1	1	8	1151	213	167	36	96.044876	spherical
5	1	1	1	1	9	1325	213	109	36	96.445129	shape
5	1	1	1	1	10	1443	213	40	28	96.716736	of
5	1	1	1	1	11	1489	213	151	36	96.677475	globular
5	1	1	1	1	12	1646	213	151	35	96.626427	proteins
5	1	1	1	1	13	2029	207	86	88	40.111267	yA
2	1	2	0	0	0	578	269	1600	78	-1	
3	1	2	1	0	0	578	269	1600	78	-1	
4	1	2	1	1	0	578	269	1459	36	-1	
5	1	2	1	1	1	578	269	69	28	94.427330	and
5	1	2	1	1	2	655	269	58	28	94.427330	the
5	1	2	1	1	3	721	269	89	36	95.547455	long,
5	1	2	1	1	4	822	269	166	28	95.981125	stranded
5	1	2	1	1	5	995	269	109	35	96.666023	shape
5	1	2	1	1	6	1114	269	39	28	94.723999	of
5	1	2	1	1	7	1160	269	126	28	96.175148	fibrous
5	1	2	1	1	8	1294	269	151	36	95.394585	proteins
5	1	2	1	1	9	2034	292	3	2	53.765648	i
4	1	2	1	2	0	1967	315	211	32	-1	
5	1	2	1	2	1	1967	315	89	32	96.463097	Your
5	1	2	1	2	2	2067	319	111	28	96.639023	notes
2	1	3	0	0	0	203	363	232	55	-1	
3	1	3	1	0	0	203	363	232	55	-1	
4	1	3	1	1	0	203	363	232	55	-1	
5	1	3	1	1	1	203	363	232	55	96.724686	Collagen
2	1	4	0	0	0	277	469	1214	973	-1	
3	1	4	1	0	0	277	469	1214	973	-1	
4	1	4	1	1	0	277	469	1214	36	-1	
5	1	4	1	1	1	277	469	159	36	90.893875	Collagen
5	1	4	1	1	2	448	469	22	28	90.893875	is
5	1	4	1	1	3	480	469	56	28	96.088692	the
5	1	4	1	1	4	547	472	88	25	96.088692	most
5	1	4	1	1	5	645	476	157	21	96.332596	common
5	1	4	1	1	6	812	469	173	28	95.748932	structural
5	1	4	1	1	7	996	469	124	36	96.036507	protein
5	1	4	1	1	8	1130	469	102	28	96.436447	found
