level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2483	3508	-1	
2	1	1	0	0	0	228	211	1887	83	-1	
3	1	1	1	0	0	228	211	1887	83	-1	
4	1	1	1	1	0	228	211	1887	83	-1	
5	1	1	1	1	1	228	222	13	12	88.355553	=
5	1	1	1	1	2	275	213	66	28	91.715637	This
5	1	1	1	1	3	351	213	193	28	90.865433	structureis
5	1	1	1	1	4	554	220	157	21	60.188988	common
5	1	1	1	1	5	723	213	25	28	60.188988	in
5	1	1	1	1	6	758	213	47	28	94.418602	3D
5	1	1	1	1	7	815	213	149	36	96.292915	globular
5	1	1	1	1	8	974	213	142	36	96.184189	proteins
5	1	1	1	1	9	2033	211	82	83	0.000000	4
2	1	2	0	0	0	263	304	450	794	-1	
3	1	2	1	0	0	263	304	450	794	-1	
4	1	2	1	1	0	263	304	450	794	-1	
5	1	2	1	1	1	263	304	450	794	95.000000	   
2	1	3	0	0	0	1179	315	999	1005	-1	
3	1	3	1	0	0	667	315	1511	1005	-1	
4	1	3	1	1	0	1967	315	211	32	-1	
5	1	3	1	1	1	1967	315	85	32	96.700569	Your
5	1	3	1	1	2	2070	319	108	28	96.803841	notes
4	1	3	1	2	0	1195	383	3	39	-1	
5	1	3	1	2	1	1195	383	3	39	9.070587	!
4	1	3	1	3	0	1183	425	77	85	-1	
5	1	3	1	3	1	1183	425	77	85	20.223160	[
4	1	3	1	4	0	1182	515	428	72	-1	
5	1	3	1	4	1	1182	515	29	69	0.000000	§
5	1	3	1	4	2	1553	554	57	33	96.917137	CH
4	1	3	1	5	0	1179	587	546	75	-1	
5	1	3	1	5	1	1179	608	35	54	96.710320	=
5	1	3	1	5	2	1437	587	116	75	20.346664	H.C”
5	1	3	1	5	3	1614	587	111	75	27.127628	‘cH,
4	1	3	1	6	0	1182	673	29	34	-1	
5	1	3	1	6	1	1182	673	29	34	91.097946	O
4	1	3	1	7	0	1190	695	535	69	-1	
5	1	3	1	7	1	1190	714	13	44	35.204170	Tl
5	1	3	1	7	2	1443	695	109	69	1.560459	PEN
5	1	3	1	7	3	1649	695	76	45	90.284370	CH,
4	1	3	1	8	0	1183	766	396	83	-1	
5	1	3	1	8	1	1183	766	26	83	40.859390	7
5	1	3	1	8	2	1262	767	68	33	40.859390	ON
5	1	3	1	8	3	1553	769	26	33	78.199402	C
4	1	3	1	9	0	1352	914	254	45	-1	
5	1	3	1	9	1	1352	914	3	39	86.743103	|
5	1	3	1	9	2	1603	917	3	42	76.272179	|
4	1	3	1	10	0	1341	1052	276	83	-1	
5	1	3	1	10	1	1341	1052	76	83	45.609951	[2
5	1	3	1	10	2	1592	1057	25	48	55.695950	7
4	1	3	1	11	0	1592	1131	25	103	-1	
5	1	3	1	11	1	1592	1131	25	103	56.615982	i
4	1	3	1	12	0	1592	1241	26	33	-1	
5	1	3	1	12	1	1592	1241	26	33	77.672440	C
4	1	3	1	13	0	1603	1279	3	41	-1	
5	1	3	1	13	1	1603	1279	3	41	93.677109	|
2	1	4	0	0	0	287	1564	543	18	-1	
3	1	4	1	0	0	287	1564	543	18	-1	
4	1	4	1	1	0	287	1564	543	18	-1	
5	1	4	1	1	1	287	1564	543	18	95.000000	 
2	1	5	0	0	0	1280	1143	141	275	-1	
3	1	5	1	0	0	1280	1143	141	275	-1	
4	1	5	1	1	0	1341	1143	76	83	-1	
5	1	5	1	1	1	1341	1143	76	83	21.807865	ins
4	1	5	1	2	0	1280	1312	141	106	-1	
5	1	5	1	2	1	1280	1390	25	28	74.955338	y
5	1	5	1	2	2	1300	1312	121	86	34.448174	NH
2	1	6	0	0	0	464	1627	184	28	-1	
3	1	6	1	0	0	464	1627	184	28	-1	
4	1	6	1	1	0	464	1627	184	28	-1	
5	1	6	1	1	1	464	1627	184	28	96.923897	TERTIARY
2	1	7	0	0	0	408	1804	1336	101	-1	
3	1	7	1	0	0	408	1804	1336	101	-1	
4	1	7	1	1	0	408	1804	1336	30	-1	
5	1	7	1	1	1	408	1813	24	12	77.749672	=
5	1	7	1	1	2	446	1805	112	29	77.749672	WEAK
5	1	7	1	1	3	586	1804	276	30	72.581390	HYDROPHOBIC
5	1	7	1	1	4	898	1804	262	30	79.547607	INTERACTION
5	1	7	1	1	5	1358	1813	23	12	30.500031	=
5	1	7	1	1	6	1395	1804	211	30	30.500031	HYDROGEN
5	1	7	1	1	7	1638	1804	106	30	96.571442	BOND
4	1	7	1	2	0	409	1875	1225	30	-1	
5	1	7	1	2	1	409	1885	20	11	61.914982	=
5	1	7	1	2	2	446	1875	223	30	61.914982	DISULPHIDE
5	1	7	1	2	3	704	1876	106	29	96.866470	BOND
5	1	7	1	2	4	1358	1876	138	29	31.560984	=lONIC
5	1	7	1	2	5	1528	1875	106	30	91.753807	BOND
2	1	8	0	0	0	271	1709	436	18	-1	
3	1	8	1	0	0	271	1709	436	18	-1	
4	1	8	1	1	0	271	1709	436	18	-1	
5	1	8	1	1	1	271	1709	436	18	95.000000	 
2	1	9	0	0	0	295	1746	72	31	-1	
3	1	9	1	0	0	295	1746	72	31	-1	
4	1	9	1	1	0	295	1746	72	31	-1	
5	1	9	1	1	1	295	1746	72	31	96.235672	KEY
2	1	10	0	0	0	1419	1936	356	13	-1	
3	1	10	1	0	0	1419	1936	356	13	-1	
4	1	10	1	1	0	1419	1936	356	13	-1	
5	1	10	1	1	1	1419	1936	356	13	95.000000	 
2	1	11	0	0	0	306	1936	551	18	-1	
3	1	11	1	0	0	306	1936	551	18	-1	
4	1	11	1	1	0	306	1936	551	18	-1	
5	1	11	1	1	1	306	1936	551	18	95.000000	 
2	1	12	0	0	0	211	2125	1602	92	-1	
3	1	12	1	0	0	211	2125	1602	92	-1	
4	1	12	1	1	0	211	2125	1602	36	-1	
5	1	12	1	1	1	211	2125	62	28	96.738335	The
5	1	12	1	1	2	282	2125	49	28	94.740829	3D
5	1	12	1	1	3	340	2125	135	36	96.040878	tertiary
5	1	12	1	1	4	482	2128	167	25	96.040878	structure
5	1	12	1	1	5	658	2125	40	28	96.508163	of
5	1	12	1	1	6	703	2125	151	36	96.508163	proteins
5	1	12	1	1	7	864	2125	77	28	96.373978	with
5	1	12	1	1	8	950	2125	175	36	95.724709	hydrogen
5	1	12	1	1	9	1134	2125	124	34	95.922607	bonds,
5	1	12	1	1	10	1270	2125	87	28	95.614708	ionic
5	1	12	1	1	11	1366	2125	124	34	95.944572	bonds,
5	1	12	1	1	12	1503	2125	188	36	95.428596	disulphide
5	1	12	1	1	13	1699	2125	114	28	96.753502	bonds
4	1	12	1	2	0	299	2181	1425	36	-1	
5	1	12	1	2	1	299	2181	68	28	94.138657	and
5	1	12	1	2	2	374	2181	235	36	94.138657	hydrophobic
5	1	12	1	2	3	618	2181	218	28	95.462166	interactions
5	1	12	1	2	4	846	2181	135	28	96.703804	formed
5	1	12	1	2	5	988	2181	162	28	96.712410	between
5	1	12	1	2	6	1160	2181	58	28	93.163414	the
5	1	12	1	2	7	1227	2181	23	28	91.782501	R
5	1	12	1	2	8	1258	2188	128	29	95.982384	groups
5	1	12	1	2	9	1395	2181	40	28	95.905357	of
5	1	12	1	2	10	1442	2181	58	28	96.266083	the
5	1	12	1	2	11	1508	2181	111	28	96.310127	amino
5	1	12	1	2	12	1628	2181	96	28	96.465736	acids
2	1	13	0	0	0	203	2276	549	55	-1	
3	1	13	1	0	0	203	2276	549	55	-1	
4	1	13	1	1	0	203	2276	549	55	-1	
5	1	13	1	1	1	203	2276	299	55	96.679413	Quaternary
5	1	13	1	1	2	513	2281	239	39	96.120026	structure
2	1	14	0	0	0	228	2378	1521	93	-1	
3	1	14	1	0	0	228	2378	1521	93	-1	
4	1	14	1	1	0	228	2378	1521	36	-1	
5	1	14	1	1	1	228	2387	13	13	85.219017	=»
5	1	14	1	1	2	277	2378	127	28	0.000000	Occurs
5	1	14	1	1	3	415	2378	25	28	0.000000	in
5	1	14	1	1	4	452	2378	143	36	48.669426	proteins
5	1	14	1	1	5	605	2378	68	28	96.635307	that
5	1	14	1	1	6	684	2378	80	28	95.890991	have
5	1	14	1	1	7	775	2385	92	21	96.636009	more
5	1	14	1	1	8	876	2378	79	28	95.538132	than
5	1	14	1	1	9	965	2385	66	21	94.945984	one
5	1	14	1	1	10	1042	2378	217	36	94.945984	polypeptide
5	1	14	1	1	11	1270	2378	91	28	96.665840	chain
5	1	14	1	1	12	1371	2378	138	36	96.477264	working
5	1	14	1	1	13	1520	2378	156	36	96.084839	together
5	1	14	1	1	14	1685	2385	36	21	93.412903	as
5	1	14	1	1	15	1732	2385	17	21	93.412903	a
4	1	14	1	2	0	276	2435	944	36	-1	
5	1	14	1	2	1	276	2435	176	28	95.576431	functional
5	1	14	1	2	2	464	2435	285	33	96.202713	macromolecule,
5	1	14	1	2	3	759	2435	50	28	95.628571	for
5	1	14	1	2	4	818	2435	157	36	95.628571	example,
5	1	14	1	2	5	988	2435	232	36	95.747070	haemoglobin
2	1	15	0	0	0	228	2528	1592	93	-1	
3	1	15	1	0	0	228	2528	1592	93	-1	
4	1	15	1	1	0	228	2528	1592	36	-1	
5	1	15	1	1	1	228	2537	13	13	74.925438	=»
5	1	15	1	1	2	275	2528	61	28	0.000000	The
5	1	15	1	1	3	347	2535	93	21	0.000000	same
5	1	15	1	1	4	452	2528	110	28	85.365791	bonds
5	1	15	1	1	5	573	2528	206	36	91.195824	responsible
5	1	15	1	1	6	788	2528	50	28	96.206764	for
5	1	15	1	1	7	847	2528	201	36	95.590828	maintaining
5	1	15	1	1	8	1058	2528	56	28	96.100166	the
5	1	15	1	1	9	1124	2528	125	36	96.803093	tertiary
5	1	15	1	1	10	1258	2531	158	25	96.788811	structure
5	1	15	1	1	11	1427	2528	34	28	96.716782	of
5	1	15	1	1	12	1471	2535	17	21	95.134186	a
5	1	15	1	1	13	1500	2528	124	36	95.134186	protein
5	1	15	1	1	14	1633	2528	52	28	92.491035	will
5	1	15	1	1	15	1696	2528	70	28	92.491035	also
5	1	15	1	1	16	1777	2528	43	28	96.442360	be
4	1	15	1	2	0	278	2585	759	36	-1	
5	1	15	1	2	1	278	2585	143	28	96.427055	involved
5	1	15	1	2	2	433	2585	25	28	96.126419	in
5	1	15	1	2	3	468	2585	136	36	95.480194	forming
5	1	15	1	2	4	614	2585	56	28	96.437881	the
5	1	15	1	2	5	681	2588	190	33	96.910011	quaternary
5	1	15	1	2	6	879	2588	158	25	96.493660	structure
2	1	16	0	0	0	278	2678	1442	36	-1	
3	1	16	1	0	0	278	2678	1442	36	-1	
4	1	16	1	1	0	278	2678	1442	36	-1	
5	1	16	1	1	1	278	2678	83	28	96.244232	Each
5	1	16	1	1	2	373	2678	217	36	94.800316	polypeptide
5	1	16	1	1	3	601	2678	91	28	96.486900	chain
5	1	16	1	1	4	703	2678	25	28	96.610016	in
5	1	16	1	1	5	738	2678	55	28	96.617737	the
5	1	16	1	1	6	804	2681	191	33	96.516174	quaternary
5	1	16	1	1	7	1003	2681	158	25	95.960922	structure
5	1	16	1	1	8	1173	2678	22	28	95.960922	is
5	1	16	1	1	9	1207	2678	140	28	96.703575	referred
5	1	16	1	1	10	1357	2681	35	25	96.360283	to
5	1	16	1	1	11	1403	2685	36	21	96.360283	as
5	1	16	1	1	12	1450	2685	16	21	96.465630	a
5	1	16	1	1	13	1477	2678	133	28	94.604637	subunit
5	1	16	1	1	14	1620	2678	35	28	96.463654	of
5	1	16	1	1	15	1664	2678	56	28	96.482071	the
2	1	17	0	0	0	278	2735	124	36	-1	
3	1	17	1	0	0	278	2735	124	36	-1	
4	1	17	1	1	0	278	2735	124	36	-1	
5	1	17	1	1	1	278	2735	124	36	96.526604	protein
2	1	18	0	0	0	201	3226	1988	82	-1	
3	1	18	1	0	0	201	3226	1988	82	-1	
4	1	18	1	1	0	201	3226	1988	82	-1	
5	1	18	1	1	1	201	3226	49	82	96.968155	4
5	1	18	1	1	2	262	3248	310	47	91.673691	SaveMyExams
5	1	18	1	1	3	726	3254	28	27	96.653412	©
5	1	18	1	1	4	767	3254	82	27	96.605621	2026
5	1	18	1	1	5	863	3254	77	27	96.332863	Save
5	1	18	1	1	6	956	3254	48	36	96.697014	My
5	1	18	1	1	7	1018	3254	117	32	95.214859	Exams,
5	1	18	1	1	8	1151	3252	60	29	95.214859	Ltd.
5	1	18	1	1	9	1251	3248	21	50	56.238335	|
5	1	18	1	1	10	1285	3254	59	27	88.765945	Get
5	1	18	1	1	11	1357	3261	89	20	95.912025	more
5	1	18	1	1	12	1459	3252	62	29	96.278259	and
5	1	18	1	1	13	1536	3261	56	20	96.657730	ace
5	1	18	1	1	14	1604	3261	79	29	96.156990	your
5	1	18	1	1	15	1696	3261	110	20	96.156990	exams
5	1	18	1	1	16	1819	3256	32	25	93.274117	at
5	1	18	1	1	17	1863	3261	326	29	91.385880	savemyexams.com
2	1	19	0	0	0	2263	3254	19	27	-1	
3	1	19	1	0	0	2263	3254	19	27	-1	
4	1	19	1	1	0	2263	3254	19	27	-1	
5	1	19	1	1	1	2263	3254	19	27	96.929337	7
