level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2483	3508	-1	
2	1	1	0	0	0	345	211	1770	83	-1	
3	1	1	1	0	0	345	211	1770	83	-1	
4	1	1	1	1	0	345	211	1770	83	-1	
5	1	1	1	1	1	345	256	156	34	31.230946	ye
5	1	1	1	1	2	519	244	224	29	95.834000	PHOSPHATE
5	1	1	1	1	3	2033	211	82	83	0.000000	4
2	1	2	0	0	0	341	315	1837	36	-1	
3	1	2	1	0	0	341	315	1837	36	-1	
4	1	2	1	1	0	341	315	1837	36	-1	
5	1	2	1	1	1	341	315	46	33	27.807537	Oo
5	1	2	1	1	2	444	328	2	2	71.397545	»
5	1	2	1	1	3	545	321	30	30	65.785187	5?
5	1	2	1	1	4	1967	315	89	32	96.700569	Your
5	1	2	1	1	5	2067	319	111	28	96.803841	notes
2	1	3	0	0	0	233	355	338	142	-1	
3	1	3	1	0	0	233	355	338	142	-1	
4	1	3	1	1	0	237	355	251	48	-1	
5	1	3	1	1	1	237	392	1	4	0.000000	f_
5	1	3	1	1	2	353	355	3	43	80.785461	|
5	1	3	1	1	3	487	400	1	3	52.384338	|
4	1	3	1	2	0	233	398	338	57	-1	
5	1	3	1	2	1	233	403	134	52	0.000000	(O—P
5	1	3	1	2	2	407	398	164	51	0.000000	—OHGs
4	1	3	1	3	0	237	454	251	43	-1	
5	1	3	1	3	1	237	462	1	14	88.786171	\
5	1	3	1	3	2	346	454	15	43	43.673172	ll
5	1	3	1	3	3	487	454	1	3	34.372883	|
2	1	4	0	0	0	571	366	1228	1328	-1	
3	1	4	1	0	0	571	366	1228	1328	-1	
4	1	4	1	1	0	571	366	763	334	-1	
5	1	4	1	1	1	571	366	763	334	95.000000	   
4	1	4	1	2	0	623	700	714	121	-1	
5	1	4	1	2	1	623	700	714	121	95.000000	 
4	1	4	1	3	0	728	821	1060	547	-1	
5	1	4	1	3	1	728	821	1060	547	95.000000	   
4	1	4	1	4	0	728	1368	1071	113	-1	
5	1	4	1	4	1	728	1368	1071	113	95.000000	  
4	1	4	1	5	0	830	1481	913	213	-1	
5	1	4	1	5	1	830	1481	913	213	95.000000	   
2	1	5	0	0	0	204	505	1255	1484	-1	
3	1	5	1	0	0	204	505	1255	1484	-1	
4	1	5	1	1	0	340	505	28	32	-1	
5	1	5	1	1	1	340	505	28	32	87.312599	O
4	1	5	1	2	0	1337	767	122	135	-1	
5	1	5	1	2	1	1337	767	122	135	38.220787	ie
4	1	5	1	3	0	503	864	322	46	-1	
5	1	5	1	3	1	503	864	322	46	47.160393	o—P—o—C
4	1	5	1	4	0	601	919	15	43	-1	
5	1	5	1	4	1	601	919	15	43	93.320984	|
4	1	5	1	5	0	596	970	27	32	-1	
5	1	5	1	5	1	596	970	27	32	88.037064	O
4	1	5	1	6	0	691	1850	641	36	-1	
5	1	5	1	6	1	691	1850	25	28	48.742844	A
5	1	5	1	6	2	726	1850	106	36	48.742844	single
5	1	5	1	6	3	841	1850	79	28	96.091064	DNA
5	1	5	1	6	4	928	1850	278	36	95.148308	polynucleotide
5	1	5	1	6	5	1215	1850	117	28	96.668182	strand
4	1	5	1	7	0	204	1946	362	43	-1	
5	1	5	1	7	1	204	1946	112	42	95.180962	RNA
5	1	5	1	7	2	326	1950	240	39	95.180962	structure
2	1	6	0	0	0	228	2047	1496	92	-1	
3	1	6	1	0	0	228	2047	1496	92	-1	
4	1	6	1	1	0	228	2047	1496	36	-1	
5	1	6	1	1	1	228	2056	13	13	75.358673	=
5	1	6	1	1	2	278	2047	69	28	95.931580	Like
5	1	6	1	1	3	358	2047	87	33	95.475891	DNA,
5	1	6	1	1	4	456	2047	55	28	95.475891	the
5	1	6	1	1	5	523	2047	123	28	96.442596	nucleic
5	1	6	1	1	6	657	2047	72	28	95.774895	acid
5	1	6	1	1	7	742	2047	72	28	96.765778	RNA
5	1	6	1	1	8	823	2047	206	33	95.464554	(ribonucleic
5	1	6	1	1	9	1040	2047	84	33	96.935257	acid)
5	1	6	1	1	10	1135	2047	23	28	95.083336	is
5	1	6	1	1	11	1181	2054	4	21	95.083336	a
5	1	6	1	1	12	1197	2047	274	36	93.152161	polynucleotide
5	1	6	1	1	13	1481	2064	16	2	90.215851	-
5	1	6	1	1	14	1509	2047	19	28	95.904404	it
5	1	6	1	1	15	1539	2047	22	28	96.028175	is
5	1	6	1	1	16	1573	2047	98	28	94.320274	made
5	1	6	1	1	17	1682	2054	42	29	94.973892	up
