level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2483	3508	-1	
2	1	1	0	0	0	303	213	1349	36	-1	
3	1	1	1	0	0	303	213	1349	36	-1	
4	1	1	1	1	0	303	213	1349	36	-1	
5	1	1	1	1	1	303	222	13	12	85.209145	=
5	1	1	1	1	2	350	213	61	28	94.311104	The
5	1	1	1	1	3	423	213	107	36	94.311104	purine
5	1	1	1	1	4	540	213	142	36	92.443085	guanine
5	1	1	1	1	5	692	213	50	33	90.928818	(G)
5	1	1	1	1	6	752	213	115	36	95.862816	always
5	1	1	1	1	7	879	213	82	36	96.643501	pairs
5	1	1	1	1	8	970	213	71	28	96.604652	with
5	1	1	1	1	9	1051	213	56	28	96.316147	the
5	1	1	1	1	10	1118	213	182	36	95.894051	pyrimidine
5	1	1	1	1	11	1310	213	156	36	91.741783	cytosine
5	1	1	1	1	12	1475	213	48	33	88.265930	(C)
5	1	1	1	1	13	1534	230	16	2	86.140335	-
5	1	1	1	1	14	1560	213	92	28	96.410339	three
2	1	2	0	0	0	303	269	929	130	-1	
3	1	2	1	0	0	303	269	929	130	-1	
4	1	2	1	1	0	353	269	879	36	-1	
5	1	2	1	1	1	353	269	167	36	96.194328	hydrogen
5	1	2	1	1	2	532	269	110	28	95.873238	bonds
5	1	2	1	1	3	653	276	52	21	95.873238	are
5	1	2	1	1	4	715	269	129	28	96.305794	formed
5	1	2	1	1	5	856	269	155	28	96.586121	between
5	1	2	1	1	6	1021	269	97	28	95.727020	these
5	1	2	1	1	7	1130	269	102	28	96.396164	bases
4	1	2	1	2	0	303	363	846	36	-1	
5	1	2	1	2	1	303	372	13	12	86.220001	=
5	1	2	1	2	2	350	363	100	28	92.192924	Thisis
5	1	2	1	2	3	462	363	112	28	92.956123	known
5	1	2	1	2	4	585	370	36	21	95.942383	as
5	1	2	1	2	5	631	363	290	36	94.181778	complementary
5	1	2	1	2	6	931	363	85	28	96.667625	base
5	1	2	1	2	7	1027	363	122	36	96.622681	pairing
2	1	3	0	0	0	303	456	760	36	-1	
3	1	3	1	0	0	303	456	760	36	-1	
4	1	3	1	1	0	303	456	760	36	-1	
5	1	3	1	1	1	303	466	13	12	77.074493	=
5	1	3	1	1	2	350	456	104	28	95.219925	These
5	1	3	1	1	3	465	456	82	36	96.224541	pairs
5	1	3	1	1	4	558	463	52	21	96.224541	are
5	1	3	1	1	5	622	456	112	28	91.569244	known
5	1	3	1	1	6	745	463	36	21	91.569244	as
5	1	3	1	1	7	793	456	79	28	94.037643	DNA
5	1	3	1	1	8	881	456	85	28	94.037643	base
5	1	3	1	1	9	977	456	86	36	96.904510	pairs
2	1	4	0	0	0	966	537	791	99	-1	
3	1	4	1	0	0	966	537	791	99	-1	
4	1	4	1	1	0	1132	537	625	43	-1	
5	1	4	1	1	1	1132	537	625	43	95.000000	 
4	1	4	1	2	0	966	580	537	56	-1	
5	1	4	1	2	1	966	580	537	56	95.000000	  
2	1	5	0	0	0	966	610	513	54	-1	
3	1	5	1	0	0	966	610	513	54	-1	
4	1	5	1	1	0	966	610	513	54	-1	
5	1	5	1	1	1	966	610	513	54	95.000000	 
2	1	6	0	0	0	304	528	1434	225	-1	
3	1	6	1	0	0	304	528	1434	225	-1	
4	1	6	1	1	0	1291	528	32	30	-1	
5	1	6	1	1	1	1291	528	32	30	91.694038	3’
4	1	6	1	2	0	1503	594	235	28	-1	
5	1	6	1	2	1	1503	594	20	27	96.277145	2
5	1	6	1	2	2	1544	594	194	28	96.256790	HYDROGEN
4	1	6	1	3	0	304	540	1184	180	-1	
5	1	6	1	3	1	304	643	27	19	56.274284	1
5	1	6	1	3	2	350	643	212	4	18.167858	fo
5	1	6	1	3	3	1113	540	195	180	44.348305	[sci
5	1	6	1	3	4	1484	629	4	6	56.710243	|
4	1	6	1	4	0	309	681	7	27	-1	
5	1	6	1	4	1	309	681	7	27	91.178879	\
4	1	6	1	5	0	315	727	7	26	-1	
5	1	6	1	5	1	315	727	7	26	91.419678	\
2	1	7	0	0	0	930	818	351	7	-1	
3	1	7	1	0	0	930	818	351	7	-1	
4	1	7	1	1	0	930	818	351	7	-1	
5	1	7	1	1	1	930	818	351	7	3.955297	-—_-—_—_—_—_
5	1	7	1	1	2	1166	803	26	28	64.552986	—
5	1	7	1	1	3	1215	803	24	28	84.296875	—
5	1	7	1	1	4	1257	803	29	28	87.619698	—
2	1	8	0	0	0	366	891	1142	51	-1	
