level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2483	3508	-1	
2	1	1	0	0	0	875	211	1303	206	-1	
3	1	1	1	0	0	875	211	1303	202	-1	
4	1	1	1	1	0	875	211	1238	91	-1	
5	1	1	1	1	1	875	270	255	32	96.122025	QUATERNARY
5	1	1	1	1	2	2033	211	80	83	33.644653	g
4	1	1	1	2	0	1967	315	211	33	-1	
5	1	1	1	2	1	1967	315	85	33	96.700569	Your
5	1	1	1	2	2	2070	319	108	29	96.803841	notes
4	1	1	1	3	0	1285	364	401	53	-1	
5	1	1	1	3	1	1285	384	5	5	30.242281	e
5	1	1	1	3	2	1304	364	190	53	44.784515	-GLOBIN
5	1	1	1	3	3	1524	370	162	28	95.587646	SUBUNIT
2	1	2	0	0	0	400	354	896	386	-1	
3	1	2	1	0	0	400	354	896	386	-1	
4	1	2	1	1	0	832	354	406	157	-1	
5	1	2	1	1	1	832	354	406	157	95.000000	  
4	1	2	1	2	0	710	511	528	136	-1	
5	1	2	1	2	1	710	511	528	136	95.000000	  
4	1	2	1	3	0	400	647	896	93	-1	
5	1	2	1	3	1	400	647	896	93	95.000000	  
2	1	3	0	0	0	340	408	407	32	-1	
3	1	3	1	0	0	340	408	407	32	-1	
4	1	3	1	1	0	340	408	407	32	-1	
5	1	3	1	1	1	340	408	202	32	9.828777	O&-GLOBIN
5	1	3	1	1	2	572	408	175	28	0.000000	SUBUNIT
5	1	3	1	1	3	730	404	20	46	0.000000	=
2	1	4	0	0	0	421	670	1277	47	-1	
3	1	4	1	0	0	421	670	1277	47	-1	
4	1	4	1	1	0	421	670	1277	47	-1	
5	1	4	1	1	1	421	689	99	28	91.987793	HAEM
5	1	4	1	1	2	553	689	147	28	93.153641	GROUP
5	1	4	1	1	3	683	677	19	45	89.174110	«
5	1	4	1	1	4	1303	670	172	28	0.000000	©OXYGEN
5	1	4	1	1	5	1505	670	193	28	96.705635	MOLECULE
2	1	5	0	0	0	710	628	1006	317	-1	
3	1	5	1	0	0	710	628	1006	317	-1	
4	1	5	1	1	0	1713	628	3	112	-1	
5	1	5	1	1	1	1713	628	3	112	95.000000	 
4	1	5	1	2	0	710	740	583	205	-1	
5	1	5	1	2	1	710	740	583	205	95.000000	  
2	1	6	0	0	0	392	946	1275	184	-1	
3	1	6	1	0	0	392	946	1275	184	-1	
4	1	6	1	1	0	392	946	1275	79	-1	
5	1	6	1	1	1	392	979	191	46	53.013115	B-GLOBIN
5	1	6	1	1	2	613	981	161	28	96.624802	SUBUNIT
5	1	6	1	1	3	1257	946	218	31	0.000000	egd.-GLOBIN
5	1	6	1	1	4	1505	946	162	28	95.665474	SUBUNIT
4	1	6	1	2	0	823	1095	357	35	-1	
5	1	6	1	2	1	823	1105	59	25	93.926285	e.g.
5	1	6	1	2	2	913	1095	267	29	96.007195	HAEMOGLOBIN
2	1	7	0	0	0	223	1324	1579	93	-1	
3	1	7	1	0	0	223	1324	1579	93	-1	
4	1	7	1	1	0	223	1324	1579	37	-1	
5	1	7	1	1	1	223	1324	62	29	96.178101	The
5	1	7	1	1	2	294	1328	201	33	96.501991	quaternary
5	1	7	1	1	3	501	1328	167	25	96.260910	structure
5	1	7	1	1	4	678	1325	39	28	96.312080	of
5	1	7	1	1	5	723	1332	20	21	95.688705	a
5	1	7	1	1	6	751	1325	142	36	95.688705	protein.
5	1	7	1	1	7	907	1324	69	29	96.253136	This
5	1	7	1	1	8	984	1325	27	28	96.214134	is
5	1	7	1	1	9	1019	1332	42	21	91.669807	an
5	1	7	1	1	10	1070	1324	155	37	91.669807	example
5	1	7	1	1	11	1234	1325	40	28	96.649269	of
5	1	7	1	1	12	1280	1324	240	37	96.118294	haemoglobin
5	1	7	1	1	13	1530	1324	107	29	95.972511	which
5	1	7	1	1	14	1646	1325	156	28	96.216644	contains
4	1	7	1	2	0	393	1380	1238	37	-1	
5	1	7	1	2	1	393	1381	75	28	95.764732	four
5	1	7	1	2	2	474	1380	154	29	96.256210	subunits
5	1	7	1	2	3	638	1380	239	37	96.176369	(polypeptide
5	1	7	1	2	4	886	1380	130	35	96.096199	chains)
5	1	7	1	2	5	1026	1380	147	37	96.086235	working
5	1	7	1	2	6	1182	1380	161	37	95.909439	together
5	1	7	1	2	7	1350	1384	37	25	96.882179	to
