level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2483	3508	-1	
2	1	1	0	0	0	362	316	164	97	-1	
3	1	1	1	0	0	362	316	164	97	-1	
4	1	1	1	1	0	362	316	164	43	-1	
5	1	1	1	1	1	362	316	102	43	96.454094	Type
5	1	1	1	1	2	479	316	47	33	96.697739	of
4	1	1	1	2	0	363	381	150	32	-1	
5	1	1	1	2	1	363	381	150	32	95.344795	enzyme
2	1	2	0	0	0	677	372	275	34	-1	
3	1	2	1	0	0	677	372	275	34	-1	
4	1	2	1	1	0	677	372	275	34	-1	
5	1	2	1	1	1	677	372	275	34	81.474518	Intracellular
2	1	3	0	0	0	1967	315	211	33	-1	
3	1	3	1	0	0	1967	315	211	33	-1	
4	1	3	1	1	0	1967	315	211	33	-1	
5	1	3	1	1	1	1967	315	89	33	96.700569	Your
5	1	3	1	1	2	2067	319	111	29	96.803841	notes
2	1	4	0	0	0	1189	372	295	34	-1	
3	1	4	1	0	0	1189	372	295	34	-1	
4	1	4	1	1	0	1189	372	295	34	-1	
5	1	4	1	1	1	1189	372	295	34	95.713623	Extracellular
2	1	5	0	0	0	337	447	1367	101	-1	
3	1	5	1	0	0	337	447	1367	101	-1	
4	1	5	1	1	0	337	447	1367	101	-1	
5	1	5	1	1	1	337	447	259	101	15.930882	a
5	1	5	1	1	2	759	447	248	101	14.288931	a
2	1	6	0	0	0	362	589	219	86	-1	
3	1	6	1	0	0	362	589	219	86	-1	
4	1	6	1	1	0	362	589	219	30	-1	
5	1	6	1	1	1	362	589	164	30	95.825005	Function
5	1	6	1	1	2	540	589	41	30	96.383881	of
4	1	6	1	2	0	362	647	134	28	-1	
5	1	6	1	2	1	362	647	134	28	96.024551	enzyme
2	1	7	0	0	0	201	3226	371	82	-1	
3	1	7	1	0	0	201	3226	371	82	-1	
4	1	7	1	1	0	201	3226	371	82	-1	
5	1	7	1	1	1	201	3226	49	82	96.968155	4
5	1	7	1	1	2	262	3248	160	37	0.000000	SaveMy
5	1	7	1	1	3	436	3248	136	37	0.000000	Exams
2	1	8	0	0	0	679	589	416	179	-1	
3	1	8	1	0	0	679	589	416	179	-1	
4	1	8	1	1	0	679	589	409	39	-1	
5	1	8	1	1	1	679	594	17	18	86.535385	©
5	1	8	1	1	2	716	589	167	37	95.108101	Hydrogen
5	1	8	1	1	3	897	589	152	39	96.100281	peroxide
5	1	8	1	1	4	1063	591	25	28	96.443886	is
4	1	8	1	2	0	716	639	324	38	-1	
5	1	8	1	2	1	716	639	161	38	96.479958	produced
5	1	8	1	2	2	891	646	38	22	92.343163	ds
5	1	8	1	2	3	942	646	18	22	68.494827	d
5	1	8	1	2	4	973	639	67	36	83.773102	by—
4	1	8	1	3	0	716	688	297	39	-1	
5	1	8	1	3	1	716	688	143	39	96.690781	product
5	1	8	1	3	2	872	688	40	30	96.751991	of
5	1	8	1	3	3	925	697	88	27	96.128479	many
4	1	8	1	4	0	717	737	378	31	-1	
5	1	8	1	4	1	717	737	182	31	66.080391	metabolic
5	1	8	1	4	2	912	740	183	28	88.729103	reactions.
2	1	9	0	0	0	679	800	428	31	-1	
3	1	9	1	0	0	679	800	428	31	-1	
4	1	9	1	1	0	679	800	428	31	-1	
5	1	9	1	1	1	679	809	17	18	69.647774	o
5	1	9	1	1	2	718	801	28	30	34.660904	It
5	1	9	1	1	3	758	803	26	28	92.644814	is
5	1	9	1	1	4	797	800	143	31	93.103653	harmful
5	1	9	1	1	5	953	804	41	27	94.605087	to
5	1	9	1	1	6	1008	800	99	31	94.605087	cells.
2	1	10	0	0	0	679	863	449	229	-1	
3	1	10	1	0	0	679	863	449	229	-1	
4	1	10	1	1	0	679	863	381	30	-1	
5	1	10	1	1	1	679	868	17	18	94.782219	©
5	1	10	1	1	2	716	863	170	30	68.403679	Catalase
5	1	10	1	1	3	899	867	161	26	96.635948	converts
4	1	10	1	2	0	716	913	412	39	-1	
5	1	10	1	2	1	716	913	161	37	96.009949	hydrogen
5	1	10	1	2	2	891	913	152	39	96.009949	peroxide
5	1	10	1	2	3	1057	916	71	27	95.319191	into
4	1	10	1	3	0	716	963	334	37	-1	
5	1	10	1	3	1	716	966	115	27	96.719200	water
5	1	10	1	3	2	843	963	58	30	71.566025	and
5	1	10	1	3	3	914	972	136	28	95.872627	oxygen,
4	1	10	1	4	0	716	1012	411	39	-1	
5	1	10	1	4	1	716	1015	192	36	95.867912	preventing
5	1	10	1	4	2	921	1021	59	28	95.648460	any
5	1	10	1	4	3	993	1012	134	37	96.779457	damage
4	1	10	1	5	0	716	1062	343	30	-1	
5	1	10	1	5	1	716	1066	42	26	91.123810	to
5	1	10	1	5	2	771	1062	88	30	91.123810	cells
5	1	10	1	5	3	872	1071	37	21	96.258766	or
5	1	10	1	5	4	922	1065	137	27	96.523148	tissues.
2	1	11	0	0	0	324	232	1392	1479	-1	
3	1	11	1	0	0	324	232	1392	1479	-1	
4	1	11	1	1	0	324	232	1392	1479	-1	
5	1	11	1	1	1	324	232	1392	1479	95.000000	 
2	1	12	0	0	0	841	1727	343	15	-1	
3	1	12	1	0	0	841	1727	343	15	-1	
4	1	12	1	1	0	841	1727	343	15	-1	
5	1	12	1	1	1	841	1729	69	13	95.977341	Copyright
5	1	12	1	1	2	926	1731	1	4	96.839073	©
5	1	12	1	1	3	937	1728	48	11	96.949867	Save
5	1	12	1	1	4	972	1719	18	29	96.730865	My
5	1	12	1	1	5	997	1732	25	7	96.856987	Exams.
5	1	12	1	1	6	1052	1728	5	10	93.668526	All
5	1	12	1	1	7	1072	1727	34	14	96.689072	Rights
5	1	12	1	1	8	1121	1727	63	12	96.960052	Reserved
2	1	13	0	0	0	705	3252	484	38	-1	
3	1	13	1	0	0	705	3252	484	38	-1	
4	1	13	1	1	0	705	3252	484	38	-1	
5	1	13	1	1	1	705	3254	27	27	96.593193	©
5	1	13	1	1	2	746	3254	82	27	95.741440	2026
5	1	13	1	1	3	841	3254	78	27	96.523117	Save
5	1	13	1	1	4	934	3254	49	36	96.541710	My
5	1	13	1	1	5	996	3254	117	32	92.847130	Exams,
5	1	13	1	1	6	1130	3252	59	30	96.627602	Ltd.
2	1	14	0	0	0	1190	588	392	38	-1	
3	1	14	1	0	0	1190	588	392	38	-1	
4	1	14	1	1	0	1190	588	392	38	-1	
5	1	14	1	1	1	1190	594	18	18	91.947662	©
5	1	14	1	1	2	1229	589	172	37	94.486862	Digestion
5	1	14	1	1	3	1414	591	26	28	94.486862	is
5	1	14	1	1	4	1453	588	129	37	35.925301	usually
2	1	15	0	0	0	1229	639	425	85	-1	
3	1	15	1	0	0	1229	639	425	85	-1	
4	1	15	1	1	0	1229	639	254	36	-1	
5	1	15	1	1	1	1229	639	127	29	90.938210	carried
5	1	15	1	1	2	1370	642	62	27	96.574875	out
5	1	15	1	1	3	1446	639	37	36	96.534752	by
4	1	15	1	2	0	1229	688	425	36	-1	
5	1	15	1	2	1	1229	688	252	31	87.111862	extracellular
5	1	15	1	2	2	1495	697	159	27	96.299500	enzymes.
2	1	16	0	0	0	1229	751	398	229	-1	
3	1	16	1	0	0	1229	751	398	229	-1	
4	1	16	1	1	0	1229	751	344	30	-1	
5	1	16	1	1	1	1229	751	77	30	95.826653	This
5	1	16	1	1	2	1319	754	25	27	96.733696	is
5	1	16	1	1	3	1358	751	141	30	96.432999	because
5	1	16	1	1	4	1512	751	61	30	96.989357	the
4	1	16	1	2	0	1229	801	398	36	-1	
5	1	16	1	2	1	1229	801	295	30	86.856689	macromolecules
5	1	16	1	2	2	1538	801	89	36	95.548225	being
4	1	16	1	3	0	1230	850	301	37	-1	
5	1	16	1	3	1	1230	850	153	37	96.982468	digested
5	1	16	1	3	2	1397	858	57	22	96.685966	dre
5	1	16	1	3	3	1467	854	64	26	96.907951	too
4	1	16	1	4	0	1231	900	333	37	-1	
5	1	16	1	4	1	1231	900	93	37	92.907043	Large
5	1	16	1	4	2	1337	903	42	27	95.545341	to
5	1	16	1	4	3	1392	903	98	27	96.362045	enter
5	1	16	1	4	4	1503	900	61	30	96.931404	the
4	1	16	1	5	0	1229	949	80	31	-1	
5	1	16	1	5	1	1229	949	80	31	96.225433	cell.
2	1	17	0	0	0	1229	1012	431	236	-1	
3	1	17	1	0	0	1229	1012	390	87	-1	
4	1	17	1	1	0	1229	1012	390	37	-1	
5	1	17	1	1	1	1229	1012	152	37	81.865402	Amylase
5	1	17	1	1	2	1395	1015	25	27	96.551826	is
5	1	17	1	1	3	1433	1012	147	30	96.758438	involved
5	1	17	1	1	4	1594	1015	25	27	96.631630	in
4	1	17	1	2	0	1229	1062	248	37	-1	
5	1	17	1	2	1	1229	1062	248	37	96.543167	carbohydrate
3	1	17	2	0	0	1229	1112	431	136	-1	
4	1	17	2	1	0	1232	1112	428	37	-1	
5	1	17	2	1	1	1232	1112	161	37	92.097969	digestion
5	1	17	2	1	2	1425	1115	30	27	92.097969	it
5	1	17	2	1	3	1468	1112	192	37	91.469582	hydrolyses
4	1	17	2	2	0	1229	1161	330	39	-1	
5	1	17	2	2	1	1229	1161	120	31	43.024582	stadrch
5	1	17	2	2	2	1363	1164	70	28	95.916031	into
5	1	17	2	2	3	1447	1161	112	39	95.916031	simple
4	1	17	2	3	0	1229	1219	128	29	-1	
5	1	17	2	3	1	1229	1219	128	29	53.097382	sugars.
