level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2483	3508	-1	
2	1	1	0	0	0	204	207	1974	242	-1	
3	1	1	1	0	0	204	207	1974	242	-1	
4	1	1	1	1	0	204	207	1911	88	-1	
5	1	1	1	1	1	204	214	229	54	92.956596	Enzymes
5	1	1	1	1	2	445	213	96	44	92.956596	and
5	1	1	1	1	3	553	213	86	44	94.465210	the
5	1	1	1	1	4	652	213	224	55	96.025589	lowering
5	1	1	1	1	5	890	213	54	44	96.945732	of
5	1	1	1	1	6	955	214	260	43	95.779099	activation
5	1	1	1	1	7	1227	225	185	43	95.786049	energy
5	1	1	1	1	8	2029	207	86	88	40.111267	yA
4	1	1	1	2	0	228	315	1950	40	-1	
5	1	1	1	2	1	228	328	13	13	74.217720	=
5	1	1	1	2	2	276	319	206	28	42.002525	Allchemical
5	1	1	1	2	3	494	319	162	28	42.002525	reactions
5	1	1	1	2	4	667	326	53	21	95.450737	are
5	1	1	1	2	5	731	319	193	28	96.173676	associated
5	1	1	1	2	6	934	319	72	28	96.626808	with
5	1	1	1	2	7	1016	326	126	29	95.277832	energy
5	1	1	1	2	8	1151	319	153	36	96.761429	changes
5	1	1	1	2	9	1967	315	89	32	96.864868	Your
5	1	1	1	2	10	2067	319	111	28	96.384644	notes
4	1	1	1	3	0	228	413	1213	36	-1	
5	1	1	1	3	1	228	422	13	12	83.193405	=»
5	1	1	1	3	2	278	413	236	28	91.696144	Forareaction
5	1	1	1	3	3	524	416	34	25	96.552338	to
5	1	1	1	3	4	570	413	150	36	95.939651	proceed
5	1	1	1	3	5	731	413	91	28	96.618370	there
5	1	1	1	3	6	833	416	85	25	96.037338	must
5	1	1	1	3	7	929	413	43	28	96.686798	be
5	1	1	1	3	8	983	413	132	36	96.293983	enough
5	1	1	1	3	9	1125	413	180	28	96.132065	activation
5	1	1	1	3	10	1315	420	126	29	95.802650	energy
2	1	2	0	0	0	228	506	1427	93	-1	
3	1	2	1	0	0	228	506	1427	93	-1	
4	1	2	1	1	0	228	506	1427	36	-1	
5	1	2	1	1	1	228	516	13	12	62.138336	=»
5	1	2	1	1	2	276	506	175	28	94.937943	Activation
5	1	2	1	1	3	462	513	122	29	94.756866	energy
5	1	2	1	1	4	594	506	23	28	94.756866	is
5	1	2	1	1	5	627	506	55	28	96.279808	the
5	1	2	1	1	6	692	509	138	25	96.460670	amount
5	1	2	1	1	7	840	506	36	28	95.988991	of
5	1	2	1	1	8	885	513	127	29	96.304787	energy
5	1	2	1	1	9	1022	506	136	28	96.731163	needed
5	1	2	1	1	10	1170	506	42	36	96.573212	by
5	1	2	1	1	11	1220	506	55	28	96.610641	the
5	1	2	1	1	12	1286	506	165	28	94.258545	substrate
5	1	2	1	1	13	1461	509	35	25	96.529915	to
5	1	2	1	1	14	1508	506	147	28	95.993080	become
4	1	2	1	2	0	273	563	1326	36	-1	
5	1	2	1	2	1	273	563	64	36	96.926018	just
5	1	2	1	2	2	347	563	155	28	96.130188	unstable
5	1	2	1	2	3	512	563	133	36	96.130188	enough
5	1	2	1	2	4	654	563	50	28	95.166534	for
5	1	2	1	2	5	713	570	16	21	52.734077	a
5	1	2	1	2	6	741	563	148	28	52.734077	reaction
5	1	2	1	2	7	899	566	37	25	96.946632	to
