level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2483	3508	-1	
2	1	1	0	0	0	1420	226	268	67	-1	
3	1	1	1	0	0	1420	226	268	67	-1	
4	1	1	1	1	0	1420	226	268	67	-1	
5	1	1	1	1	1	1420	226	268	67	95.000000	   
2	1	2	0	0	0	218	236	1582	978	-1	
3	1	2	1	0	0	218	236	1582	978	-1	
4	1	2	1	1	0	1372	236	81	57	-1	
5	1	2	1	1	1	1372	236	81	57	95.000000	  
4	1	2	1	2	0	218	293	1470	311	-1	
5	1	2	1	2	1	218	403	603	201	95.000000	 
5	1	2	1	2	2	1336	293	352	110	95.000000	     
4	1	2	1	3	0	218	604	1278	50	-1	
5	1	2	1	3	1	218	604	1278	50	95.000000	 
4	1	2	1	4	0	218	604	1574	240	-1	
5	1	2	1	4	1	218	654	1288	190	95.000000	  
5	1	2	1	4	2	1773	604	19	102	95.000000	  
4	1	2	1	5	0	218	844	1582	262	-1	
5	1	2	1	5	1	218	844	1582	262	95.000000	   
4	1	2	1	6	0	364	1106	1109	108	-1	
5	1	2	1	6	1	364	1166	26	48	95.000000	 
5	1	2	1	6	2	888	1106	585	108	95.000000	  
2	1	3	0	0	0	1435	250	238	130	-1	
3	1	3	1	0	0	1435	250	238	130	-1	
4	1	3	1	1	0	1453	250	191	29	-1	
5	1	3	1	1	1	1453	250	191	29	96.683945	INVERTED
4	1	3	1	2	0	1435	300	238	29	-1	
5	1	3	1	2	1	1435	310	5	6	0.000000	>
5	1	3	1	2	2	1452	300	221	29	69.956055	MEASURING
4	1	3	1	3	0	1452	350	182	30	-1	
5	1	3	1	3	1	1452	350	182	30	96.446999	CYLINDER
2	1	4	0	0	0	1041	403	647	100	-1	
3	1	4	1	0	0	1041	403	647	100	-1	
4	1	4	1	1	0	1145	403	543	43	-1	
5	1	4	1	1	1	1145	403	543	43	95.000000	 
4	1	4	1	2	0	1041	446	464	57	-1	
5	1	4	1	2	1	1041	446	464	57	95.000000	  
2	1	5	0	0	0	1484	460	289	231	-1	
3	1	5	1	0	0	1505	460	240	80	-1	
4	1	5	1	1	0	1505	460	240	29	-1	
5	1	5	1	1	1	1505	460	161	29	96.058640	VOLUME
5	1	5	1	1	2	1697	460	48	29	96.111832	OF
4	1	5	1	2	0	1505	510	156	30	-1	
5	1	5	1	2	1	1505	510	156	30	96.423492	OXYGEN
3	1	5	2	0	0	1484	561	289	130	-1	
4	1	5	2	1	0	1484	561	228	29	-1	
5	1	5	2	1	1	1484	568	5	6	69.496567	°
5	1	5	2	1	2	1505	561	207	29	95.941826	PRODUCED
4	1	5	2	2	0	1505	611	240	29	-1	
5	1	5	2	2	1	1505	611	68	29	96.638298	PER
5	1	5	2	2	2	1604	611	141	29	96.551132	MINUTE
4	1	5	2	3	0	1506	661	267	30	-1	
5	1	5	2	3	1	1506	662	31	29	48.799114	IS
5	1	5	2	3	2	1568	661	205	30	48.799114	MEASURED
2	1	6	0	0	0	1041	446	751	158	-1	
3	1	6	1	0	0	1041	446	751	158	-1	
4	1	6	1	1	0	1745	446	47	57	-1	
5	1	6	1	1	1	1745	446	47	57	95.000000	 
4	1	6	1	2	0	1042	503	454	52	-1	
5	1	6	1	2	1	1042	503	454	52	95.000000	 
4	1	6	1	3	0	1041	503	751	101	-1	
5	1	6	1	3	1	1041	555	455	49	95.000000	 
5	1	6	1	3	2	1780	503	12	101	95.000000	  
2	1	7	0	0	0	828	465	200	79	-1	
3	1	7	1	0	0	828	465	200	79	-1	
4	1	7	1	1	0	828	465	200	41	-1	
5	1	7	1	1	1	828	501	5	5	0.000000	,
5	1	7	1	1	2	845	465	183	29	0.000000	DELIVERY
4	1	7	1	2	0	843	515	101	29	-1	
5	1	7	1	2	1	843	515	101	29	96.368439	TUBE
2	1	8	0	0	0	1552	905	232	80	-1	
3	1	8	1	0	0	1552	905	232	80	-1	
4	1	8	1	1	0	1552	905	176	42	-1	
5	1	8	1	1	1	1552	905	176	42	65.310677	“TROUGH
4	1	8	1	2	0	1566	956	218	29	-1	
5	1	8	1	2	1	1566	956	49	29	84.270157	OF
5	1	8	1	2	2	1645	956	139	29	84.270157	WATER
2	1	9	0	0	0	639	1107	414	4	-1	
3	1	9	1	0	0	639	1107	414	4	-1	
4	1	9	1	1	0	639	1107	414	4	-1	
5	1	9	1	1	1	639	1107	414	4	95.000000	 
2	1	10	0	0	0	300	1106	91	60	-1	
3	1	10	1	0	0	300	1106	91	60	-1	
4	1	10	1	1	0	300	1106	91	60	-1	
5	1	10	1	1	1	300	1106	91	60	95.000000	  
2	1	11	0	0	0	390	1121	652	80	-1	
3	1	11	1	0	0	377	1121	665	80	-1	
4	1	11	1	1	0	391	1121	651	30	-1	
5	1	11	1	1	1	377	1121	222	42	30.618448	HYDROGEN
5	1	11	1	1	2	630	1121	185	30	96.903267	PEROXIDE
5	1	11	1	1	3	846	1121	196	30	96.614914	SOLUTION
4	1	11	1	2	0	390	1172	498	29	-1	
5	1	11	1	2	1	390	1172	79	29	92.867508	AND
5	1	11	1	2	2	500	1172	206	29	92.867508	CATALASE
5	1	11	1	2	3	738	1172	150	29	96.177170	ENZYME
2	1	12	0	0	0	225	1391	1574	92	-1	
3	1	12	1	0	0	225	1391	1574	92	-1	
4	1	12	1	1	0	225	1391	1574	36	-1	
5	1	12	1	1	1	225	1391	62	28	95.634842	The
5	1	12	1	1	2	296	1394	184	33	96.071617	apparatus
5	1	12	1	1	3	489	1394	56	25	96.534546	set
5	1	12	1	1	4	553	1398	45	28	94.907898	up
5	1	12	1	1	5	608	1394	37	25	96.523979	to
5	1	12	1	1	6	653	1391	202	36	95.887802	investigate
