level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2483	3508	-1	
2	1	1	0	0	0	228	211	1887	94	-1	
3	1	1	1	0	0	228	211	1887	94	-1	
4	1	1	1	1	0	228	211	1887	83	-1	
5	1	1	1	1	1	228	222	13	12	62.017906	=
5	1	1	1	1	2	277	213	157	36	90.474037	Collagen
5	1	1	1	1	3	444	213	98	28	90.474037	fibres
5	1	1	1	1	4	553	220	53	21	96.470016	are
5	1	1	1	1	5	617	213	189	36	96.339622	positioned
5	1	1	1	1	6	817	220	40	21	96.301811	so
5	1	1	1	1	7	867	213	68	28	96.523499	that
5	1	1	1	1	8	945	213	77	36	96.682800	they
5	1	1	1	1	9	1031	220	53	21	96.749626	are
5	1	1	1	1	10	1095	213	82	28	96.324165	lined
5	1	1	1	1	11	1188	220	42	29	96.741951	up
5	1	1	1	1	12	1239	213	72	28	96.582954	with
5	1	1	1	1	13	1321	213	55	28	95.447563	the
5	1	1	1	1	14	1386	213	112	28	96.594688	forces
5	1	1	1	1	15	1508	213	78	36	96.797157	they
5	1	1	1	1	16	1595	220	52	21	96.913376	are
5	1	1	1	1	17	2033	211	82	83	0.000000	4
4	1	1	1	2	0	276	269	1771	36	-1	
5	1	1	1	2	1	276	269	227	36	96.073212	withstanding
5	1	1	1	2	2	2037	271	10	3	46.921494	>
2	1	2	0	0	0	312	350	27	36	-1	
3	1	2	1	0	0	312	350	27	36	-1	
4	1	2	1	1	0	312	350	27	36	-1	
5	1	2	1	1	1	312	350	27	36	61.001606	r
2	1	3	0	0	0	1967	315	211	32	-1	
3	1	3	1	0	0	1967	315	211	32	-1	
4	1	3	1	1	0	1967	315	211	32	-1	
5	1	3	1	1	1	1967	315	89	32	96.700569	Your
5	1	3	1	1	2	2067	319	111	28	96.803841	notes
2	1	4	0	0	0	386	350	1375	124	-1	
3	1	4	1	0	0	386	350	1375	124	-1	
4	1	4	1	1	0	386	350	1375	69	-1	
5	1	4	1	1	1	386	350	1375	69	95.000000	    
4	1	4	1	2	0	728	419	933	55	-1	
5	1	4	1	2	1	728	419	479	55	95.000000	 
5	1	4	1	2	2	1429	419	232	55	95.000000	 
2	1	5	0	0	0	1179	376	562	84	-1	
3	1	5	1	0	0	1179	376	562	84	-1	
4	1	5	1	1	0	1209	376	489	29	-1	
5	1	5	1	1	1	1209	376	127	29	96.596069	OTHER
5	1	5	1	1	2	1368	376	169	29	93.155998	COMMON
5	1	5	1	1	3	1576	376	122	29	93.155998	AMINO
4	1	5	1	2	0	1179	431	562	29	-1	
5	1	5	1	2	1	1179	443	13	7	39.111313	re
5	1	5	1	2	2	1207	431	116	29	94.936172	ACIDS
5	1	5	1	2	3	1356	431	73	29	96.122849	ARE
5	1	5	1	2	4	1661	431	80	29	96.824730	AND
2	1	6	0	0	0	308	531	1453	1643	-1	
3	1	6	1	0	0	308	531	1453	1643	-1	
4	1	6	1	1	0	308	531	1453	1172	-1	
5	1	6	1	1	1	308	531	1453	1172	95.000000	     
4	1	6	1	2	0	526	1703	651	471	-1	
5	1	6	1	2	1	526	1703	651	471	95.000000	 
2	1	7	0	0	0	410	433	332	139	-1	
3	1	7	1	0	0	410	433	332	139	-1	
4	1	7	1	1	0	411	433	317	29	-1	
5	1	7	1	1	1	411	433	158	29	95.921417	ALMOST
5	1	7	1	1	2	604	433	124	29	95.410553	EVERY
4	1	7	1	2	0	410	488	269	29	-1	
5	1	7	1	2	1	410	488	115	29	88.913101	THIRD
5	1	7	1	2	2	558	488	121	29	91.355751	AMINO
4	1	7	1	3	0	410	543	332	29	-1	
5	1	7	1	3	1	410	543	88	29	96.293777	ACID
5	1	7	1	3	2	530	543	31	29	91.736893	IS
5	1	7	1	3	3	592	543	150	29	91.736893	GLYCINE
2	1	8	0	0	0	251	362	71	454	-1	
3	1	8	1	0	0	251	362	65	454	-1	
4	1	8	1	1	0	251	362	29	454	-1	
5	1	8	1	1	1	251	655	29	161	95.561783	OCCURS
5	1	8	1	1	2	251	591	29	31	95.561783	IN
5	1	8	1	1	3	251	515	29	44	96.647484	ER
5	1	8	1	1	4	251	362	29	123	96.236938	LUMEN
4	1	8	1	2	0	292	556	30	120	-1	
5	1	8	1	2	1	292	556	30	120	40.812485	—_A_
2	1	9	0	0	0	387	841	857	2	-1	
3	1	9	1	0	0	387	841	857	2	-1	
4	1	9	1	1	0	387	841	857	2	-1	
5	1	9	1	1	1	387	841	857	2	95.000000	 
2	1	10	0	0	0	748	932	216	222	-1	
3	1	10	1	0	0	748	932	216	222	-1	
4	1	10	1	1	0	748	932	216	222	-1	
5	1	10	1	1	1	748	932	216	222	95.000000	 
2	1	11	0	0	0	956	1291	837	412	-1	
3	1	11	1	0	0	956	1291	837	412	-1	
4	1	11	1	1	0	1137	1291	358	207	-1	
5	1	11	1	1	1	1137	1291	358	207	95.000000	 
4	1	11	1	2	0	956	1498	837	205	-1	
5	1	11	1	2	1	956	1498	837	205	95.000000	  
2	1	12	0	0	0	580	1534	74	48	-1	
3	1	12	1	0	0	580	1534	74	48	-1	
4	1	12	1	1	0	580	1534	74	48	-1	
5	1	12	1	1	1	580	1534	74	48	61.200813	\\
2	1	13	0	0	0	621	1587	53	35	-1	
3	1	13	1	0	0	621	1587	53	35	-1	
4	1	13	1	1	0	621	1587	53	35	-1	
5	1	13	1	1	1	621	1587	53	35	45.515968	\\\
2	1	14	0	0	0	527	1412	1244	241	-1	
3	1	14	1	0	0	527	1412	422	188	-1	
4	1	14	1	1	0	539	1412	386	46	-1	
5	1	14	1	1	1	539	1412	102	46	35.110153	ey
5	1	14	1	1	2	697	1451	5	6	60.757843	|
5	1	14	1	1	3	722	1412	227	45	94.274185	COLLAGEN
5	1	14	1	1	4	931	1395	23	67	77.701424	|
4	1	14	1	2	0	527	1454	306	146	-1	
5	1	14	1	2	1	527	1454	174	146	36.196171	WA
5	1	14	1	2	2	722	1467	111	30	96.538956	FIBRIL
3	1	14	2	0	0	724	1570	1047	83	-1	
4	1	14	2	1	0	724	1570	907	39	-1	
5	1	14	2	1	1	724	1591	21	18	56.820526	5
5	1	14	2	1	2	1414	1570	217	44	0.000000	COVALENT
4	1	14	2	2	0	1430	1624	341	29	-1	
5	1	14	2	2	1	1430	1624	341	29	67.018173	CROSS-LINKAGES
2	1	15	0	0	0	1193	1778	551	192	-1	
3	1	15	1	0	0	1202	1778	465	98	-1	
4	1	15	1	1	0	1222	1778	359	28	-1	
5	1	15	1	1	1	1222	1778	225	28	96.165680	STAGGERED
