level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2483	3508	-1	
2	1	1	0	0	0	303	207	1812	88	-1	
3	1	1	1	0	0	303	207	1812	88	-1	
4	1	1	1	1	0	303	207	1812	88	-1	
5	1	1	1	1	1	303	222	13	12	53.715714	=»
5	1	1	1	1	2	350	213	61	28	50.019947	The
5	1	1	1	1	3	422	213	269	28	50.019947	conformational
5	1	1	1	1	4	703	213	149	36	96.292610	changes
5	1	1	1	1	5	863	220	116	21	96.665787	ensure
5	1	1	1	1	6	990	220	38	21	58.554306	an
5	1	1	1	1	7	1039	213	85	28	58.554306	ideal
5	1	1	1	1	8	1135	213	134	36	96.546089	binding
5	1	1	1	1	9	1279	216	234	33	96.762123	arrangement
5	1	1	1	1	10	1523	213	155	28	96.162521	between
5	1	1	1	1	11	1688	213	55	28	95.270622	the
5	1	1	1	1	12	2029	207	86	88	40.111267	yA
2	1	2	0	0	0	303	269	1875	130	-1	
3	1	2	1	0	0	303	269	1875	130	-1	
4	1	2	1	1	0	352	269	1685	36	-1	
5	1	2	1	1	1	352	276	134	29	95.010216	enzyme
5	1	2	1	1	2	497	269	63	28	96.403595	and
5	1	2	1	1	3	571	269	200	28	88.285866	substrate
5	1	2	1	1	4	740	265	34	44	88.285866	is
5	1	2	1	1	5	782	269	159	28	95.751892	achieved
5	1	2	1	1	6	2034	292	3	2	71.603813	i
4	1	2	1	2	0	1967	315	211	32	-1	
5	1	2	1	2	1	1967	315	89	32	96.463097	Your
5	1	2	1	2	2	2067	319	111	28	96.639023	notes
4	1	2	1	3	0	303	363	1197	36	-1	
5	1	2	1	3	1	303	372	13	12	87.135056	=
5	1	2	1	3	2	350	363	66	28	96.219116	This
5	1	2	1	3	3	427	363	189	28	94.727524	maximises
5	1	2	1	3	4	625	363	58	28	94.727524	the
5	1	2	1	3	5	692	363	111	36	96.820328	ability
5	1	2	1	3	6	812	363	37	28	96.165550	of
5	1	2	1	3	7	857	363	58	28	96.789459	the
5	1	2	1	3	8	925	370	140	29	96.680542	enzyme
5	1	2	1	3	9	1074	366	37	25	94.194107	to
5	1	2	1	3	10	1121	363	152	36	96.070259	catalyse
5	1	2	1	3	11	1282	363	58	28	94.647224	the
5	1	2	1	3	12	1351	363	149	28	94.647224	reaction
2	1	3	0	0	0	242	460	1529	1077	-1	
3	1	3	1	0	0	242	460	1529	1077	-1	
4	1	3	1	1	0	737	460	549	31	-1	
5	1	3	1	1	1	737	460	77	31	96.179054	THE
5	1	3	1	1	2	848	460	170	31	95.640564	INDUCED
5	1	3	1	1	3	1060	460	61	31	94.936707	FIT
5	1	3	1	1	4	1153	460	133	31	96.225639	MODEL
4	1	3	1	2	0	752	560	941	30	-1	
5	1	3	1	2	1	752	560	75	30	96.691849	THE
5	1	3	1	2	2	859	560	236	30	96.103180	SUBSTRATE
5	1	3	1	2	3	1127	560	102	30	96.358833	DOES
5	1	3	1	2	4	1261	560	81	30	96.226669	NOT
5	1	3	1	2	5	1382	560	59	30	96.226669	FIT
5	1	3	1	2	6	1473	560	220	30	96.203644	PERFECTLY
4	1	3	1	3	0	242	698	399	431	-1	
5	1	3	1	3	1	242	698	399	431	21.989727	=
4	1	3	1	4	0	866	1153	744	30	-1	
5	1	3	1	4	1	866	1153	75	30	95.901161	THE
5	1	3	1	4	2	972	1153	149	30	95.478073	ACTIVE
5	1	3	1	4	3	1153	1153	84	30	95.478073	SITE
5	1	3	1	4	4	1269	1153	184	30	96.040077	CHANGES
5	1	3	1	4	5	1485	1153	125	30	94.271240	SHAPE
4	1	3	1	5	0	868	1209	903	30	-1	
5	1	3	1	5	1	868	1209	247	30	95.878151	(UNDERGOES
5	1	3	1	5	2	1147	1209	26	30	95.878151	A
5	1	3	1	5	3	1203	1209	366	30	96.177132	CONFORMATIONAL
5	1	3	1	5	4	1601	1209	170	30	95.851471	CHANGE)
4	1	3	1	6	0	866	1265	805	30	-1	
5	1	3	1	6	1	866	1265	56	30	95.945824	TO
