level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2483	3508	-1	
2	1	1	0	0	0	1967	315	211	33	-1	
3	1	1	1	0	0	1967	315	211	33	-1	
4	1	1	1	1	0	1967	315	211	33	-1	
5	1	1	1	1	1	1967	315	90	33	96.700569	Your
5	1	1	1	1	2	2067	319	111	29	96.803841	notes
2	1	2	0	0	0	865	225	350	254	-1	
3	1	2	1	0	0	865	225	350	254	-1	
4	1	2	1	1	0	865	225	350	254	-1	
5	1	2	1	1	1	865	225	350	254	95.000000	 
2	1	3	0	0	0	882	489	219	28	-1	
3	1	3	1	0	0	882	489	219	28	-1	
4	1	3	1	1	0	882	489	219	28	-1	
5	1	3	1	1	1	882	489	219	28	96.507652	NUCLEOTIDE
2	1	4	0	0	0	224	620	874	972	-1	
3	1	4	1	0	0	224	620	874	972	-1	
4	1	4	1	1	0	224	620	874	972	-1	
5	1	4	1	1	1	224	620	874	972	95.000000	  
2	1	5	0	0	0	841	1574	343	17	-1	
3	1	5	1	0	0	841	1574	343	17	-1	
4	1	5	1	1	0	841	1574	343	17	-1	
5	1	5	1	1	1	841	1575	71	16	96.700050	Copyright
5	1	5	1	1	2	916	1576	11	11	94.396545	©
5	1	5	1	1	3	932	1575	32	12	94.396545	Save
5	1	5	1	1	4	969	1575	22	16	96.998962	My
5	1	5	1	1	5	995	1576	48	11	91.171776	Exams.
5	1	5	1	1	6	1048	1575	17	12	93.231537	All
5	1	5	1	1	7	1072	1574	43	16	95.885765	Rights
5	1	5	1	1	8	1121	1574	63	13	95.502182	Reserved
2	1	6	0	0	0	201	3226	2081	82	-1	
3	1	6	1	0	0	201	3226	2081	82	-1	
4	1	6	1	1	0	201	3226	2081	82	-1	
5	1	6	1	1	1	201	3226	49	82	96.968155	4
5	1	6	1	1	2	262	3248	310	47	91.223122	SaveMyExams
5	1	6	1	1	3	705	3254	27	27	96.353134	©
5	1	6	1	1	4	746	3254	82	27	96.353134	2026
5	1	6	1	1	5	841	3254	78	27	96.078171	Save
5	1	6	1	1	6	934	3254	49	36	96.563957	My
5	1	6	1	1	7	996	3254	118	32	96.496269	Exams,
5	1	6	1	1	8	1129	3252	60	30	96.661903	Ltd.
5	1	6	1	1	9	1227	3248	22	49	86.454376	|
5	1	6	1	1	10	1264	3254	58	28	95.547997	Get
5	1	6	1	1	11	1336	3260	89	22	95.363106	more
5	1	6	1	1	12	1438	3252	62	30	95.848999	and
5	1	6	1	1	13	1515	3260	56	22	96.460876	ace
5	1	6	1	1	14	1582	3260	80	30	96.688042	your
5	1	6	1	1	15	1674	3260	110	22	96.688042	exams
5	1	6	1	1	16	1797	3256	32	26	93.141632	at
5	1	6	1	1	17	1841	3260	327	30	81.704803	Savemyexams.com
5	1	6	1	1	18	2242	3254	40	27	74.796844	33
