level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2483	3508	-1	
2	1	1	0	0	0	242	211	1873	95	-1	
3	1	1	1	0	0	242	211	1873	95	-1	
4	1	1	1	1	0	242	211	1873	95	-1	
5	1	1	1	1	1	242	252	244	54	96.489372	Enzymes:
5	1	1	1	1	2	505	251	139	44	93.247147	Roles
5	1	1	1	1	3	658	251	37	44	93.186928	&
5	1	1	1	1	4	710	251	178	44	95.654243	Modes
5	1	1	1	1	5	899	251	55	44	96.686531	of
5	1	1	1	1	6	964	252	171	43	96.396408	Action
5	1	1	1	1	7	2033	211	82	83	0.000000	4
2	1	2	0	0	0	1967	315	211	32	-1	
3	1	2	1	0	0	1967	315	211	32	-1	
4	1	2	1	1	0	1967	315	211	32	-1	
5	1	2	1	1	1	1967	315	89	32	96.700569	Your
5	1	2	1	1	2	2067	319	111	28	96.803841	notes
2	1	3	0	0	0	203	402	1305	83	-1	
3	1	3	1	0	0	203	402	1305	83	-1	
4	1	3	1	1	0	203	402	1305	83	-1	
5	1	3	1	1	1	203	403	155	64	70.280296	3-D
5	1	3	1	1	2	376	402	370	65	92.993095	Structure
5	1	3	1	1	3	767	402	55	65	92.993095	&
5	1	3	1	1	4	846	403	302	82	96.159836	Enzyme
5	1	3	1	1	5	1169	403	339	64	95.836884	Function
2	1	4	0	0	0	278	531	533	36	-1	
3	1	4	1	0	0	278	531	533	36	-1	
4	1	4	1	1	0	278	531	533	36	-1	
5	1	4	1	1	1	278	531	152	36	96.443588	Enzymes
5	1	4	1	1	2	441	538	53	21	95.378738	are
5	1	4	1	1	3	504	531	149	36	96.589516	globular
5	1	4	1	1	4	662	531	149	36	96.788261	proteins
2	1	5	0	0	0	275	625	1499	149	-1	
3	1	5	1	0	0	275	625	1499	149	-1	
4	1	5	1	1	0	275	625	1404	36	-1	
5	1	5	1	1	1	275	625	66	28	96.458672	This
5	1	5	1	1	2	352	632	114	21	95.619965	means
5	1	5	1	1	3	476	625	79	28	95.619965	their
5	1	5	1	1	4	563	625	48	28	96.829506	3D
5	1	5	1	1	5	620	625	109	36	96.188004	shape
5	1	5	1	1	6	739	625	47	33	96.322830	(as
5	1	5	1	1	7	796	625	66	28	96.231911	well
5	1	5	1	1	8	873	632	36	21	96.231911	as
5	1	5	1	1	9	919	625	56	28	96.774757	the
5	1	5	1	1	10	985	625	106	36	96.683617	shape
5	1	5	1	1	11	1102	625	35	28	96.566734	of
5	1	5	1	1	12	1146	625	55	28	96.748642	the
5	1	5	1	1	13	1211	625	111	28	96.481415	active
5	1	5	1	1	14	1331	625	64	28	96.372704	site
5	1	5	1	1	15	1406	625	35	28	95.961052	of
5	1	5	1	1	16	1451	632	38	21	96.835526	an
5	1	5	1	1	17	1500	625	146	36	94.097534	enzyme)
5	1	5	1	1	18	1657	625	22	28	95.383720	is
4	1	5	1	2	0	277	681	1497	36	-1	
5	1	5	1	2	1	277	681	205	28	96.362488	determined
5	1	5	1	2	2	494	681	36	36	96.441284	by
5	1	5	1	2	3	544	681	55	28	96.906563	the
5	1	5	1	2	4	610	681	153	36	74.674522	complex
5	1	5	1	2	5	771	681	125	36	74.674522	tertiary
5	1	5	1	2	6	905	684	158	25	96.275414	structure
5	1	5	1	2	7	1074	681	35	28	96.847473	of
5	1	5	1	2	8	1118	681	55	28	96.493774	the
5	1	5	1	2	9	1185	681	124	36	93.332039	protein
5	1	5	1	2	10	1318	681	69	28	93.332039	that
5	1	5	1	2	11	1398	681	113	28	96.261513	makes
5	1	5	1	2	12	1522	688	42	29	94.277275	up
5	1	5	1	2	13	1573	681	56	28	96.436287	the
5	1	5	1	2	14	1640	688	134	29	96.436287	enzyme
4	1	5	1	3	0	277	738	542	36	-1	
5	1	5	1	3	1	277	738	98	28	71.068184	andis
5	1	5	1	3	2	385	738	165	28	96.037254	therefore
5	1	5	1	3	3	561	738	107	36	96.037254	highly
5	1	5	1	3	4	676	738	143	36	96.297081	specific
2	1	6	0	0	0	276	831	1519	93	-1	
3	1	6	1	0	0	276	831	1519	93	-1	
4	1	6	1	1	0	278	831	1517	36	-1	
5	1	6	1	1	1	278	831	152	36	95.025841	Enzymes
5	1	6	1	1	2	442	831	79	28	95.025841	have
5	1	6	1	1	3	532	838	17	21	96.285080	a
5	1	6	1	1	4	560	831	117	36	96.790962	unique
5	1	6	1	1	5	687	831	110	28	96.210815	active
5	1	6	1	1	6	807	831	64	28	96.789734	site
5	1	6	1	1	7	879	831	108	28	96.213356	where
5	1	6	1	1	8	996	831	144	36	96.114578	specific
5	1	6	1	1	9	1149	831	192	28	96.264671	substrates
5	1	6	1	1	10	1351	831	77	28	96.154007	bind
5	1	6	1	1	11	1438	831	136	36	96.087929	forming
5	1	6	1	1	12	1586	838	39	21	90.027306	an
5	1	6	1	1	13	1634	838	161	29	90.027306	enzyme-
4	1	6	1	2	0	276	888	340	36	-1	
5	1	6	1	2	1	276	888	172	28	96.035080	substrate
5	1	6	1	2	2	458	888	158	36	96.376350	complex
2	1	7	0	0	0	275	981	1311	36	-1	
3	1	7	1	0	0	275	981	1311	36	-1	
4	1	7	1	1	0	275	981	1311	36	-1	
5	1	7	1	1	1	275	981	61	28	96.613113	The
5	1	7	1	1	2	346	981	111	28	96.535927	active
5	1	7	1	1	3	466	981	64	28	96.596657	site
5	1	7	1	1	4	541	981	35	28	93.153931	of
5	1	7	1	1	5	586	988	183	29	89.951027	anenzyme
5	1	7	1	1	6	780	981	57	28	95.368294	has
5	1	7	1	1	7	848	988	17	21	96.451630	a
5	1	7	1	1	8	875	981	143	36	96.027901	specific
5	1	7	1	1	9	1028	981	108	36	96.744972	shape
5	1	7	1	1	10	1146	984	34	25	96.410393	to
5	1	7	1	1	11	1190	981	34	28	96.156273	fit
5	1	7	1	1	12	1234	988	17	21	96.156273	a
5	1	7	1	1	13	1261	981	143	36	96.401619	specific
5	1	7	1	1	14	1413	981	173	28	96.334229	substrate
