level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2483	3508	-1	
2	1	1	0	0	0	228	207	1950	267	-1	
3	1	1	1	0	0	228	207	1950	267	-1	
4	1	1	1	1	0	228	207	1887	87	-1	
5	1	1	1	1	1	228	222	13	12	60.069370	=
5	1	1	1	1	2	275	212	62	29	0.000000	The
5	1	1	1	1	3	347	220	169	29	0.000000	presence
5	1	1	1	1	4	526	213	35	28	93.701012	of
5	1	1	1	1	5	570	212	56	29	96.800301	the
5	1	1	1	1	6	637	212	97	29	95.666817	haem
5	1	1	1	1	7	744	220	108	29	95.666817	group
5	1	1	1	1	8	861	212	75	34	93.055008	(and
5	1	1	1	1	9	948	207	84	39	48.470879	Fe2*)
5	1	1	1	1	10	1042	212	138	29	96.023026	enables
5	1	1	1	1	11	1190	212	87	29	96.580673	small
5	1	1	1	1	12	1289	212	181	29	96.145538	molecules
5	1	1	1	1	13	1481	212	56	29	96.391716	like
5	1	1	1	1	14	1546	220	128	29	96.485222	oxygen
5	1	1	1	1	15	1684	216	35	25	94.388474	to
5	1	1	1	1	16	1730	212	43	29	94.388474	be
5	1	1	1	1	17	2033	211	82	83	0.000000	4
4	1	1	1	2	0	278	268	1761	37	-1	
5	1	1	1	2	1	278	268	112	29	96.326859	bound
5	1	1	1	2	2	402	276	89	21	95.376251	more
5	1	1	1	2	3	501	268	99	37	96.523239	easily
5	1	1	1	2	4	609	268	151	29	96.051376	because
5	1	1	1	2	5	770	276	37	21	96.051376	as
5	1	1	1	2	6	817	268	84	29	96.285904	each
5	1	1	1	2	7	911	276	132	29	96.630959	oxygen
5	1	1	1	2	8	1054	268	166	29	96.351219	molecule
5	1	1	1	2	9	1230	268	103	34	96.587936	binds,
5	1	1	1	2	10	1346	269	19	28	96.999489	it
5	1	1	1	2	11	1374	268	100	29	96.207054	alters
5	1	1	1	2	12	1483	268	56	29	96.553802	the
5	1	1	1	2	13	1549	272	199	33	95.952194	quaternary
4	1	1	1	3	0	276	315	1902	46	-1	
5	1	1	1	3	1	276	328	166	25	96.126648	structure
5	1	1	1	3	2	452	324	77	34	96.612984	(due
5	1	1	1	3	3	538	328	35	25	95.436760	to
5	1	1	1	3	4	584	324	185	29	95.436760	alterations
5	1	1	1	3	5	780	325	25	28	95.074799	in
5	1	1	1	3	6	815	324	56	29	95.074799	the
5	1	1	1	3	7	880	325	125	36	96.795944	tertiary
5	1	1	1	3	8	1014	325	169	33	96.004723	structure)
5	1	1	1	3	9	1193	325	36	28	96.942772	of
5	1	1	1	3	10	1238	324	56	29	96.544403	the
5	1	1	1	3	11	1305	325	124	36	96.620369	protein
5	1	1	1	3	12	1438	324	101	29	95.331535	which
5	1	1	1	3	13	1549	332	123	21	95.331535	causes
5	1	1	1	3	14	1967	315	89	33	96.881760	Your
5	1	1	1	3	15	2067	319	111	29	96.370361	notes
4	1	1	1	4	0	278	380	1476	37	-1	
5	1	1	1	4	1	278	380	232	37	95.825867	haemoglobin
