level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2483	3508	-1	
2	1	1	0	0	0	1310	315	868	69	-1	
3	1	1	1	0	0	1310	315	868	69	-1	
4	1	1	1	1	0	1967	315	211	32	-1	
5	1	1	1	1	1	1967	315	89	32	96.700569	Your
5	1	1	1	1	2	2067	319	111	28	96.803841	notes
4	1	1	1	2	0	1310	358	88	26	-1	
5	1	1	1	2	1	1310	358	88	26	96.833740	BASE
2	1	2	0	0	0	658	642	1134	102	-1	
3	1	2	1	0	0	658	642	1134	102	-1	
4	1	2	1	1	0	658	642	1134	102	-1	
5	1	2	1	1	1	658	642	146	102	95.000000	  
5	1	2	1	1	2	1615	642	177	53	95.000000	 
2	1	3	0	0	0	754	655	241	76	-1	
3	1	3	1	0	0	754	655	241	76	-1	
4	1	3	1	1	0	754	655	241	27	-1	
5	1	3	1	1	1	754	656	115	26	96.188377	PURINE
5	1	3	1	1	2	888	655	107	27	95.782646	BASES
4	1	3	1	2	0	804	704	140	27	-1	
5	1	3	1	2	1	804	704	140	27	95.950401	ADENINE
2	1	4	0	0	0	995	642	298	53	-1	
3	1	4	1	0	0	995	642	298	53	-1	
4	1	4	1	1	0	995	642	298	53	-1	
5	1	4	1	1	1	995	642	298	53	95.000000	 
2	1	5	0	0	0	1293	655	322	27	-1	
3	1	5	1	0	0	1293	655	322	27	-1	
4	1	5	1	1	0	1293	655	322	27	-1	
5	1	5	1	1	1	1293	655	185	27	96.326126	PYRIMIDINE
5	1	5	1	1	2	1505	655	110	27	96.329277	BASES
2	1	6	0	0	0	1195	713	509	76	-1	
3	1	6	1	0	0	1195	713	509	76	-1	
4	1	6	1	1	0	1195	713	500	27	-1	
5	1	6	1	1	1	1195	713	149	27	90.881752	THYMINE
5	1	6	1	1	2	1573	713	122	27	95.640472	URACIL
4	1	6	1	2	0	1199	762	505	27	-1	
5	1	6	1	2	1	1199	762	41	27	95.556534	(IN
5	1	6	1	2	2	1258	762	81	27	95.556534	DNA)
5	1	6	1	2	3	1564	762	41	27	95.812080	(IN
5	1	6	1	2	4	1625	762	79	27	95.812080	RNA)
2	1	7	0	0	0	658	695	1134	107	-1	
3	1	7	1	0	0	658	695	1134	107	-1	
4	1	7	1	1	0	658	695	1134	58	-1	
5	1	7	1	1	1	658	695	1134	58	95.000000	    
4	1	7	1	2	0	1339	753	225	49	-1	
5	1	7	1	2	1	1339	753	225	49	95.000000	 
2	1	8	0	0	0	298	802	1494	814	-1	
3	1	8	1	0	0	298	802	1494	814	-1	
4	1	8	1	1	0	298	802	1494	503	-1	
5	1	8	1	1	1	298	802	1494	503	95.000000	    
4	1	8	1	2	0	298	1305	1494	311	-1	
5	1	8	1	2	1	298	1305	1494	311	95.000000	   
2	1	9	0	0	0	658	753	541	49	-1	
3	1	9	1	0	0	658	753	541	49	-1	
4	1	9	1	1	0	658	753	541	49	-1	
5	1	9	1	1	1	658	753	541	49	95.000000	 
2	1	10	0	0	0	298	1190	21	84	-1	
3	1	10	1	0	0	298	1190	21	84	-1	
4	1	10	1	1	0	298	1190	21	84	-1	
5	1	10	1	1	1	298	1190	21	84	95.000000	  
2	1	11	0	0	0	319	1211	271	80	-1	
3	1	11	1	0	0	319	1211	271	80	-1	
4	1	11	1	1	0	319	1211	271	42	-1	
5	1	11	1	1	1	319	1211	142	28	94.855064	DOUBLE
5	1	11	1	1	2	491	1211	82	28	89.855034	RING
5	1	11	1	1	3	585	1247	5	6	74.584106	|
4	1	11	1	2	0	319	1263	223	28	-1	
5	1	11	1	2	1	319	1263	223	28	87.549362	STRUCTURE
2	1	12	0	0	0	891	1521	307	80	-1	
3	1	12	1	0	0	891	1521	307	80	-1	
4	1	12	1	1	0	893	1521	305	43	-1	
5	1	12	1	1	1	893	1522	118	26	91.610985	SINGLE
5	1	12	1	1	2	1046	1521	82	28	95.574249	RING
5	1	12	1	1	3	1140	1541	58	23	50.945671	4
4	1	12	1	2	0	891	1574	223	27	-1	
5	1	12	1	2	1	891	1574	223	27	96.797829	STRUCTURE
2	1	13	0	0	0	208	1806	1609	36	-1	
3	1	13	1	0	0	208	1806	1609	36	-1	
4	1	13	1	1	0	208	1806	1609	36	-1	
5	1	13	1	1	1	208	1806	62	28	96.770287	The
5	1	13	1	1	2	279	1806	182	28	96.509293	molecular
5	1	13	1	1	3	468	1809	167	25	96.137360	structure
5	1	13	1	1	4	644	1806	40	28	96.610901	of
5	1	13	1	1	5	691	1806	87	28	96.675285	each
5	1	13	1	1	6	787	1806	87	28	94.618210	base
5	1	13	1	1	7	883	1806	26	28	94.618210	is
5	1	13	1	1	8	919	1806	169	34	95.489105	different,
5	1	13	1	1	9	1101	1806	198	36	96.206093	depending
5	1	13	1	1	10	1307	1813	44	21	95.724953	on
5	1	13	1	1	11	1361	1806	152	28	96.081619	whether
5	1	13	1	1	12	1521	1806	81	36	96.150047	they
5	1	13	1	1	13	1609	1813	56	21	95.701111	are
5	1	13	1	1	14	1674	1813	19	21	96.012054	a
5	1	13	1	1	15	1702	1806	115	36	96.803665	purine
2	1	14	0	0	0	893	1863	237	36	-1	
3	1	14	1	0	0	893	1863	237	36	-1	
4	1	14	1	1	0	893	1863	237	36	-1	
5	1	14	1	1	1	893	1870	39	21	96.053513	or
5	1	14	1	1	2	937	1863	193	36	96.053513	pyrimidine
2	1	15	0	0	0	206	1964	1123	83	-1	
3	1	15	1	0	0	206	1964	1123	83	-1	
4	1	15	1	1	0	206	1964	1123	83	-1	
5	1	15	1	1	1	206	1964	656	83	90.187378	Polynucleotides:
5	1	15	1	1	2	889	1965	175	63	92.357880	DNA
5	1	15	1	1	3	1082	1964	55	65	90.797348	&
5	1	15	1	1	4	1161	1965	168	63	96.406219	RNA
2	1	16	0	0	0	278	2094	1505	92	-1	
3	1	16	1	0	0	278	2094	1505	92	-1	
4	1	16	1	1	0	278	2094	1505	36	-1	
5	1	16	1	1	1	278	2094	76	28	96.031166	DNA
5	1	16	1	1	2	364	2094	62	28	95.025032	and
5	1	16	1	1	3	439	2094	72	28	78.274902	RNA
5	1	16	1	1	4	520	2101	53	21	78.274902	are
5	1	16	1	1	5	584	2094	162	36	93.860298	polymers
5	1	16	1	1	6	757	2094	324	36	96.157059	(polynucleotides),
5	1	16	1	1	7	1094	2094	148	36	95.707275	meaning
5	1	16	1	1	8	1253	2094	69	28	95.947739	that
5	1	16	1	1	9	1331	2094	78	36	96.666946	they
5	1	16	1	1	10	1418	2101	52	21	96.730072	are
5	1	16	1	1	11	1482	2094	98	28	96.667480	made
5	1	16	1	1	12	1591	2101	42	29	96.519730	up
5	1	16	1	1	13	1644	2094	35	28	96.865875	of
5	1	16	1	1	14	1690	2101	93	29	96.767578	many
4	1	16	1	2	0	278	2150	732	36	-1	
5	1	16	1	2	1	278	2146	198	44	96.359505	nucleotides
5	1	16	1	2	2	490	2150	107	36	95.618042	joined
5	1	16	1	2	3	612	2150	156	36	95.618042	together
5	1	16	1	2	4	778	2150	25	28	63.910717	in
5	1	16	1	2	5	814	2150	74	36	63.910717	long
5	1	16	1	2	6	900	2150	110	28	96.601707	chains
2	1	17	0	0	0	277	2244	1066	36	-1	
3	1	17	1	0	0	277	2244	1066	36	-1	
4	1	17	1	1	0	277	2244	1066	36	-1	
5	1	17	1	1	1	277	2244	160	36	96.544853	Separate
5	1	17	1	1	2	448	2244	212	28	96.131241	nucleotides
5	1	17	1	1	3	670	2251	51	21	96.131241	are
5	1	17	1	1	4	735	2240	107	44	96.298264	joined
5	1	17	1	1	5	855	2244	50	28	96.446609	via
5	1	17	1	1	6	915	2244	249	28	96.527985	condensation
5	1	17	1	1	7	1175	2244	168	28	96.297722	reactions
2	1	18	0	0	0	303	2338	1362	92	-1	
3	1	18	1	0	0	303	2338	1362	92	-1	
4	1	18	1	1	0	303	2338	1362	36	-1	
5	1	18	1	1	1	303	2347	13	12	59.431534	=»
5	1	18	1	1	2	350	2338	104	28	96.294960	These
5	1	18	1	1	3	465	2338	243	28	68.382248	condensation
5	1	18	1	1	4	719	2338	162	28	68.382248	reactions
5	1	18	1	1	5	892	2345	101	21	96.149170	occur
5	1	18	1	1	6	1003	2338	155	28	96.310730	between
5	1	18	1	1	7	1168	2338	55	28	95.646240	the
5	1	18	1	1	8	1234	2338	194	36	96.756882	phosphate
5	1	18	1	1	9	1438	2345	108	29	96.231934	group
5	1	18	1	1	10	1556	2338	35	28	96.507141	of
5	1	18	1	1	11	1601	2345	64	21	95.730736	one
4	1	18	1	2	0	353	2394	987	36	-1	
5	1	18	1	2	1	353	2394	187	28	95.557381	nucleotide
5	1	18	1	2	2	551	2394	63	28	94.659363	and
5	1	18	1	2	3	624	2394	56	28	94.659363	the
5	1	18	1	2	4	691	2397	148	33	95.987343	pentose
5	1	18	1	2	5	849	2401	100	29	96.647141	sugar
5	1	18	1	2	6	958	2394	35	28	96.341423	of
5	1	18	1	2	7	1002	2394	56	28	96.417839	the
5	1	18	1	2	8	1069	2397	72	25	96.380829	next
5	1	18	1	2	9	1152	2394	188	28	96.268730	nucleotide
2	1	19	0	0	0	276	2488	1429	36	-1	
3	1	19	1	0	0	276	2488	1429	36	-1	
4	1	19	1	1	0	276	2488	1429	36	-1	
5	1	19	1	1	1	276	2488	275	28	92.295494	Acondensation
5	1	19	1	1	2	562	2488	144	28	96.065651	reaction
5	1	19	1	1	3	717	2488	155	28	95.383400	between
5	1	19	1	1	4	882	2491	65	25	95.383400	two
5	1	19	1	1	5	958	2488	207	28	96.359032	nucleotides
5	1	19	1	1	6	1174	2488	101	28	96.341988	forms
5	1	19	1	1	7	1286	2495	17	21	96.689720	a
5	1	19	1	1	8	1314	2488	290	36	96.244247	phosphodiester
5	1	19	1	1	9	1613	2488	92	28	96.416862	bond
2	1	20	0	0	0	303	2581	1435	146	-1	
3	1	20	1	0	0	303	2581	1435	146	-1	
4	1	20	1	1	0	303	2581	1378	36	-1	
5	1	20	1	1	1	303	2591	13	12	50.999111	=
5	1	20	1	1	2	353	2581	53	28	45.478092	Itis
5	1	20	1	1	3	417	2581	104	28	37.228569	called
5	1	20	1	1	4	532	2581	313	36	37.228569	aphosphodiester
5	1	20	1	1	5	854	2581	91	28	96.712456	bond
5	1	20	1	1	6	957	2581	150	28	84.545532	because
5	1	20	1	1	7	1118	2581	19	28	84.545532	it
