level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2483	3508	-1	
2	1	1	0	0	0	222	250	1579	628	-1	
3	1	1	1	0	0	222	250	1579	628	-1	
4	1	1	1	1	0	439	250	751	118	-1	
5	1	1	1	1	1	439	250	751	118	95.000000	     
4	1	1	1	2	0	459	368	763	60	-1	
5	1	1	1	2	1	459	368	763	60	95.000000	 
4	1	1	1	3	0	223	428	1578	257	-1	
5	1	1	1	3	1	223	428	1578	257	95.000000	  
4	1	1	1	4	0	222	685	1149	79	-1	
5	1	1	1	4	1	222	685	1149	79	95.000000	   
4	1	1	1	5	0	222	764	28	114	-1	
5	1	1	1	5	1	222	764	28	114	95.000000	   
2	1	2	0	0	0	906	211	1209	83	-1	
3	1	2	1	0	0	906	211	1209	83	-1	
4	1	2	1	1	0	906	211	1209	83	-1	
5	1	2	1	1	1	906	234	183	30	95.963280	OPTIMUM
5	1	2	1	1	2	1121	234	290	30	85.453217	TEMPERATURE
5	1	2	1	1	3	2033	211	82	83	0.000000	4
2	1	3	0	0	0	905	284	1273	63	-1	
3	1	3	1	0	0	905	284	1273	63	-1	
4	1	3	1	1	0	905	284	294	37	-1	
5	1	3	1	1	1	905	291	173	30	93.099380	APPROX:
5	1	3	1	1	2	1113	284	86	37	81.710144	35°C
4	1	3	1	2	0	1967	315	211	32	-1	
5	1	3	1	2	1	1967	315	89	32	96.700569	Your
5	1	3	1	2	2	2067	319	111	28	96.803841	notes
2	1	4	0	0	0	244	383	202	87	-1	
3	1	4	1	0	0	244	383	202	87	-1	
4	1	4	1	1	0	244	383	188	30	-1	
5	1	4	1	1	1	244	383	104	30	96.156715	RATE
5	1	4	1	1	2	381	383	51	30	96.573540	OF
4	1	4	1	2	0	244	440	202	30	-1	
5	1	4	1	2	1	244	440	202	30	96.463799	REACTION
2	1	5	0	0	0	1352	699	431	143	-1	
3	1	5	1	0	0	1352	699	431	143	-1	
4	1	5	1	1	0	1371	699	412	29	-1	
5	1	5	1	1	1	1371	699	90	29	96.057785	HIGH
5	1	5	1	1	2	1492	699	291	29	81.179504	TEMPERATURE
4	1	5	1	2	0	1352	755	273	31	-1	
5	1	5	1	2	1	1352	755	110	31	76.356110	eWILL
5	1	5	1	2	2	1494	755	131	31	96.759926	CAUSE
4	1	5	1	3	0	1371	812	314	30	-1	
5	1	5	1	3	1	1371	812	314	30	93.873627	DENATURATION
2	1	6	0	0	0	222	685	1579	401	-1	
3	1	6	1	0	0	222	685	1579	401	-1	
4	1	6	1	1	0	1783	685	18	79	-1	
5	1	6	1	1	1	1783	685	18	79	95.000000	  
4	1	6	1	2	0	736	764	1065	114	-1	
5	1	6	1	2	1	736	764	1065	114	95.000000	    
4	1	6	1	3	0	222	878	1579	208	-1	
5	1	6	1	3	1	222	878	1579	208	95.000000	   
5	1	6	1	3	2	1095	1063	162	23	95.000000	 
2	1	7	0	0	0	665	704	700	97	-1	
3	1	7	1	0	0	665	704	700	97	-1	
4	1	7	1	1	0	665	704	700	38	-1	
5	1	7	1	1	1	665	704	700	38	95.000000	 
4	1	7	1	2	0	735	742	630	22	-1	
5	1	7	1	2	1	735	742	630	22	95.000000	 
4	1	7	1	3	0	735	764	630	37	-1	
5	1	7	1	3	1	735	764	630	37	95.000000	 
2	1	8	0	0	0	250	719	486	144	-1	
